Test,Output,Nominal,Spec,Weight,Pass/Fail
yg9bq_DDPUF_128_mc_1,E3_iter12,102.8e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter13,226.7e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter14,-402.4e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter15,163.9e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter16,22.82e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter17,-239.7e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter18,-188.1e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter19,292.6e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter20,-150.2e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter21,-115.2e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter22,290.8e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter23,373.3e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter24,179.3e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter25,110.7e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter26,-380.2e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter27,-95.9e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter28,-42.11e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter29,-201.2e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter30,-393.2e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter31,-55.76e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter32,85.05e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter33,-209.7e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter34,110.4e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter35,26.92e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter36,451.5e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter37,-71.3e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter38,-260.2e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter39,65.77e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter40,76.54e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter41,55.3e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter42,-191.9e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter43,-217.7e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter44,237.5e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter45,34.04e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter46,-247.6e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter47,84.04e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter48,491.3e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter49,240.9e-6,,,
yg9bq_DDPUF_128_mc_1,E4_iter0,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter1,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter2,799.8e-3,,,
