mc,maj,stability,strict,ber,cnt_mode,cnt_mean,cnt_median,cnt_max,cnt_frac_ge3
120,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
121,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
122,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
123,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
124,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
125,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
126,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
127,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
128,1.0,1.0,1.0,0.0,2.0,2.004,2.0,3.0,0.008
129,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
130,0.0,0.996,0.0,0.004,3.0,3.032,3.0,5.0,0.992
131,0.0,0.682,0.0,0.318,2.0,2.458,2.0,4.0,0.45
132,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
133,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
134,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
135,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
136,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
137,1.0,1.0,1.0,0.0,2.0,2.116,2.0,6.0,0.11
138,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
139,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
140,0.0,1.0,1.0,0.0,2.0,1.99,2.0,7.0,0.028
141,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
142,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
143,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
144,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
145,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
146,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
147,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
148,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,1.0
149,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
150,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
151,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
152,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
153,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
154,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
155,0.0,1.0,1.0,0.0,2.0,1.998,2.0,2.0,0.0
156,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
157,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
158,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
159,0.0,1.0,1.0,0.0,2.0,2.004,2.0,4.0,0.002
160,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
161,0.0,1.0,1.0,0.0,2.0,2.046,2.0,3.0,0.046
162,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
163,1.0,1.0,1.0,0.0,1.0,1.7,1.0,7.0,0.172
164,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
165,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
166,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
167,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
168,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
170,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
171,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
172,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
173,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
174,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
175,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
176,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
177,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
178,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
179,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180,1.0,1.0,1.0,0.0,1.0,0.936,1.0,6.0,0.004
181,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
182,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
183,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
184,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
185,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
186,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.748,0.0,0.252,3.0,2.776,3.0,6.0,0.752
188,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
189,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
190,0.0,1.0,1.0,0.0,1.0,1.014,1.0,5.0,0.004
191,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
192,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
193,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
194,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
195,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
196,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
197,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
